# Verb vocabulary harvested from a corpus of interactive fiction.
#
# Regenerate:
#   verb-synonyms-gen harvest --corpus stories --corpus unit_tests \
#       --wordnet <WordNet-3.0/dict> --freq <12dicts/Lemmatized/2+2+3frq.txt> -o …
#
# Tab-separated: spelling, the number of stories whose parser accepts it, and
# the WordNet verb lemma to expand it under (empty when WordNet has no verb
# entry, which is most of the abbreviations, magic words and game-specific
# actions).  A spelling containing a space is a verb plus a literal word from
# one of its syntax lines — `turn on`, `pick up` — which is how English
# lexicalises them and how a thesaurus indexes them, even though a dictionary
# can only hold the head word.
#
# These are the STORIES' OWN spellings and are ground truth: a suggestion the
# parser would reject is worthless.  An inflected spelling is dropped only when
# every story that accepts it also accepts its base form.
#
# 149 stories read; 15454 spellings.
angels horseback	1	
angels on	1	
anger	2	anger
anghofio	1	
angle	2	angle
angle to	1	
angrily	1	
ani	1	
animata	1	
animate	1	animate
annihilat	1	
annihilat down	1	
annihilat with	1	
annotatio	1	
annoy	2	annoy
anoint	2	anoint
anoint in	1	
anoint with	1	
anoppe	1	
answ	1	
answer	90	answer
answer angarithe	1	
answer at	7	
answer ayup	1	
answer body	1	
answer bye	5	
answer byebye	1	
answer call	1	
answer capalla	1	
answer cheerio	5	
answer chrythain	1	
answer ciao	1	
answer countess	1	
answer death	1	
answer derive	1	
answer echo	1	
answer extract	1	
answer farewell	5	
answer ferdinand	1	
answer fetch	1	
answer for	2	answer for
answer girl	1	
answer goodbye	5	
answer greetings	1	
answer guard	1	
answer guide	1	
answer ha	1	
answer haha	1	
answer har	1	
answer hee	1	
answer heehee	1	
answer heh	1	
answer hello	7	
answer hey	1	
answer hi	5	
answer ho	1	
answer hoho	1	
answer howdy	1	
answer ialdabaol	2	
answer identity	1	
answer increment	1	
answer inverse	1	
answer konokuk	1	
answer lagach	1	
answer matilda	1	
answer me	1	
answer mom	1	
answer my	1	
answer myself	1	
answer no	1	
answer nothing	1	
answer of	1	
answer okay	1	
answer one	1	
answer onegin	1	
answer out	1	
answer outerica	1	
answer plugh	1	
answer red	1	
answer salutatio	1	
answer some	1	
answer sorry	1	
answer sure	1	
answer tango	1	
answer thank	1	
answer thanks	1	
answer the	3	
answer these	1	
answer those	1	
answer to	59	
answer waltz	1	
answer warden	1	
answer why	1	
answer windsigh	1	
answer with	5	
answer woof	1	
answer xyzzy	3	
answer yea	1	
answer yeah	1	
answer yep	1	
answer yes	1	
answer you	2	
answer yourself	1	
answer yup	1	
apolog	1	
apolog to	1	
apologise	5	apologise
apologise to	3	
apologiz	1	
apologiz to	1	
apologize	5	apologize
apologize to	3	
app	1	
append	1	append
append to	1	
appl	3	
applau	5	
applaud	4	applaud
applaud at	1	
applaud for	1	
apply	32	apply
apply on	3	
apply onto	1	
apply pressure	1	
apply to	31	
apply with	1	
appointme	1	
apprec	1	
appreciat	1	
approa	8	
approach	14	approach
approach crabs	1	
aragon	1	
arg	1	
argh	3	
argue	2	argue
arise	1	arise
arise on	1	
arise up	1	
arl	1	
arm	2	arm
arouse	3	arouse
arr	4	
arr at	2	
arrange	1	arrange
arrest	11	arrest
arrest for	5	
arrr	2	
arrr at	2	
arrrr	2	
arrrr at	2	
arse	1	
art	1	
asc	1	
asce	8	
ascend	15	ascend
ascend by	1	
ascend down	2	
ascend in	2	
ascend into	1	
ascend on	2	
ascend over	3	
ascend through	2	
ascend to	1	
ascend up	3	
ascii	1	
ascii off	1	
ascii on	1	
aside	1	
ask	115	ask
ask about	89	
ask cat	1	
ask for	87	ask for
ask help	1	
ask hint	1	
ask how	3	
ask if	2	
ask killjoy	1	
ask on	11	
ask some	1	
ask that	4	
ask the	1	
ask to	9	
ask updog	1	
ask what	4	
ask whats	1	
ask when	2	
ask where	4	
ask wheres	1	
ask whether	1	
ask who	3	
ask why	1	
ass	1	
assail	1	assail
assail with	1	
assaul	10	
assaul off	2	
assaul with	8	
assault	8	assault
assault with	8	
assemble	1	assemble
asshole	2	
assist	2	assist
atc	2	
atc full	2	
atc half	2	
atc high	2	
atc low	2	
atc off	2	
atc on	2	
atc semi	2	
atc single	2	
att	6	
atta	22	
attach	92	attach
attach around	16	
attach before	1	
attach honda	1	
attach in	5	
attach lariat	1	
attach lasso	1	
attach loop	1	
attach me	1	
attach myself	1	
attach on	8	
attach onto	3	
attach reata	1	
attach riata	1	
attach to	91	attach to
attach togeth	2	
attach together	5	
attach up	22	
attach waist	1	
attach with	22	
attack	98	attack
attack against	2	
attack back	1	
attack buckle	1	
attack by	1	
attack collar	1	
attack down	5	
attack in	2	
attack into	1	
attack laughter	1	
attack off	4	
attack on	2	
attack over	1	
attack the	1	
attack through	2	
attack up	1	
attack using	2	
attack with	64	
attempt	2	attempt
attempt on	1	
attempt password	1	
attempt to	1	
attend	3	attend
attend to	2	attend to
attrac	2	
attrac with	2	
attract	1	attract
attract with	1	
attune	2	attune
attune with	1	
aud	1	
audience	1	
audit	1	audit
aulderfoo	1	
aut	8	
author	5	author
auto	32	
auto da	1	
auto fe	1	
auto play	1	
auto-da-f	1	
auto-play	1	
automatic	1	
autoplay	1	
avaunt	1	
aveh	1	
avoid	3	avoid
awak	3	
awake	97	awake
awake up	96	
awake with	1	
awaken	65	awaken
awaken up	65	
awb	4	
awesome	2	
aye	8	
ayup	1	
babble	1	babble
bac	1	
back	25	back
back at	1	
back away	6	back away
back back	3	
back beginning	1	
back from	2	
back of	1	
back one	1	
back page	1	
back start	1	
back to	1	
back up	2	back up
back ya	1	
backatya	1	
backgroun	1	
backstage	1	
backtrack	1	backtrack
backtrack back	1	
bacon	1	
badger	1	badger
bah	3	
bah at	2	
bah to	2	
bahaha	1	
bahahaha	1	
bail	1	bail
bail out	1	bail out
bakaw	1	
bakaw buk	1	
bake	6	bake
bake with	1	
bal	2	
balanc	1	
balanc with	1	
ball	9	ball
ballroom	1	
bandage	2	bandage
bandage with	1	
bang	12	bang
bang against	1	
bang at	2	
bang down	3	
bang off	1	
bang on	8	
bang out	2	bang out
bang up	1	bang up
bang with	2	
banish	8	banish
banish away	7	
banish out	7	
bank	2	bank
bank to	1	
bank up	1	
banquet	1	banquet
banquet-t	1	
bar	3	bar
bar left	1	
bar right	1	
bar to	1	
bar with	2	
barbarina	1	
barcelona	1	
barf	13	barf
bargai	4	
bargai for	1	
bargai with	4	
bargain	3	bargain
bargain for	1	
bargain with	3	
bark	3	bark
bark at	2	
bark ayup	1	
bark bye	1	
bark byebye	1	
bark chrythain	1	
bark goodbye	1	
bark greetings	1	
bark ha	1	
bark har	1	
bark hee	1	
bark hello	1	
bark hi	1	
bark ho	1	
bark moon	1	
bark no	1	
bark okay	1	
bark salutatio	1	
bark some	1	
bark sure	1	
bark the	2	
bark to	1	
bark yea	1	
bark yeah	1	
bark yep	1	
bark yes	1	
bark yup	1	
barter	3	barter
barter for	3	
barter with	2	
bash	4	bash
bash down	1	
bash through	1	
bash with	4	
bask	1	bask
bast	14	
bastard	3	
baste	1	baste
bat	2	bat
bat form	2	
bathe	30	bathe
bathe across	1	
bathe down	6	
